0,N.A
1,
2,N.A
3,N.A
4,92800
5,258888
6,N.A
7,328000
8,N.A
9,N.A
10,55800
11,N.A
12,N.A
13,838000
14,32800
15,N.A
16,N.A
17,N.A
18,
19,N.A
20,N.A
21,N.A
22,N.A
23,39800
24,N.A
25,N.A
26,N.A
27,152900
28,N.A
29,565988
30,N.A
31,N.A
32,N.A
33,N.A
34,N.A
35,N.A
36,N.A
37,N.A
38,N.A
39,N.A
40,N.A
41,N.A
42,N.A
43,N.A
44,105555
45,N.A
46,N.A
47,N.A
48,N.A
49,N.A
50,N.A
51,N.A
52,N.A
53,N.A
54,N.A
55,N.A
56,N.A
57,31888
58,N.A
59,68800
60,N.A
61,N.A
62,53800
63,N.A
64,N.A
65,N.A
66,N.A
67,N.A
68,N.A
69,74800
70,77800
71,N.A
72,N.A
73,89950
74,N.A
75,57800
76,239888
77,N.A
78,N.A
79,N.A
80,N.A
81,N.A
82,N.A
83,35800
84,N.A
85,N.A
86,N.A
87,N.A
88,N.A
89,49888
90,N.A
91,59800
92,N.A
93,N.A
94,N.A
95,N.A
96,N.A
97,N.A
98,N.A
99,N.A
100,76900
101,N.A
102,44800
103,56000
104,N.A
105,N.A
106,15800
107,17000
108,N.A
109,N.A
110,N.A
111,63800
112,N.A
113,N.A
114,N.A
115,N.A
116,277800
117,N.A
118,N.A
119,N.A
120,N.A
121,N.A
122,57800
123,N.A
124,N.A
125,174800
126,N.A
127,N.A
128,N.A
129,N.A
130,250888
131,N.A
132,107999
133,38888
134,210000
135,N.A
136,N.A
137,N.A
138,N.A
139,N.A
140,N.A
141,77800
142,62800
143,N.A
144,75700
145,N.A
146,N.A
147,15800
148,71900
149,N.A
150,N.A
151,N.A
152,N.A
153,179988
154,N.A
155,N.A
156,
157,N.A
158,N.A
159,78800
160,N.A
161,N.A
162,69888
163,N.A
164,N.A
165,N.A
166,186800
167,75800
168,59888
169,
170,66800
171,N.A
172,N.A
173,N.A
174,N.A
175,50500
176,45555
177,22800
178,N.A
179,86888
180,388388
181,N.A
182,20800
183,N.A
184,N.A
185,59000
186,126888
187,64800
188,N.A
189,478800
190,108800
191,N.A
192,N.A
193,N.A
194,166000
195,130800
196,N.A
197,350000
198,N.A
199,N.A
200,34800
201,N.A
202,N.A
203,N.A
204,N.A
205,N.A
206,78800
207,N.A
208,208988
209,N.A
210,N.A
211,45800
212,N.A
213,67800
214,N.A
215,71888
216,N.A
217,49999
218,288800
219,N.A
220,N.A
221,N.A
222,N.A
223,N.A
224,N.A
225,N.A
226,N.A
227,93888
228,N.A
229,N.A
230,N.A
231,122800
232,90800
233,N.A
234,N.A
235,N.A
236,73699
237,N.A
238,N.A
239,N.A
240,172800
241,N.A
242,105800
243,89800
244,54500
245,N.A
246,N.A
247,
248,N.A
249,N.A
250,14998
251,
252,225800
253,52000
254,39800
255,N.A
256,132000
257,N.A
258,N.A
259,N.A
260,57800
261,N.A
262,N.A
263,131000
264,92988
265,N.A
266,N.A
267,40800
268,N.A
269,83800
270,14800
271,N.A
272,N.A
273,85800
274,24800
275,N.A
276,N.A
277,N.A
278,N.A
279,N.A
280,N.A
281,N.A
282,N.A
283,N.A
284,N.A
285,
286,45888
287,47777
288,329888
289,N.A
290,N.A
291,53800
292,N.A
293,43888
294,N.A
295,N.A
296,N.A
297,53800
298,N.A
299,137800
300,N.A
301,113800
302,224988
303,N.A
304,N.A
305,93900
306,125000
307,N.A
308,N.A
309,N.A
310,N.A
311,N.A
312,N.A
313,N.A
314,340988
315,N.A
316,N.A
317,N.A
318,55888
319,N.A
320,N.A
